**Hablante 1 (Hombre):** [inteligible] necesito que esté anunciando porque ella controla, pero la calidad del banco.

**Hablante 2 (Mujer):** Pero lo vamos a hacer. Y a usted, pues se sale y trabaja con normalidad porque él va a continuar grabando con [inteligible].

**Hablante 1 (Hombre):** ¿Me puedo conectar por...?ombre:** Te voy a conectar la computadora.

**Maestro/a:** [inentendible] No, no se me ve.

**Hombre:** Ahi está bien. A ver la pantalla, conecté el HDMI.

**Maestro/a:** Minimizame la sesión [inentendible] porque el foquito que poníamos aquí no está, ¿verdad?

**Hombre:** Y aquí tengo yo.

**Maestro/a:** Sigue grabando. [inentendible] no funciona. A ver a donde me pongo yo. Allá, va a estar solo usted al final.

**Hombre:** Lo único que no les graba lo que ellas proyectaban.

**Maestro/a:** Eh no, no, no. Solamente la clase.

**Estudiante 1:** Y póngale el artístico.

**Maestro/a:** Por el momento no puedo. Vaya, pero ya estoy en la plataforma.

[Varios estudiantes hablando al mismo tiempo]

**Maestro/a:** Vaya, entonces eh...

**Hombre:** No voy a poder estar viendo...

**Maestro/a:** ...si la cámara, bueno, ya vimos que funciona bien.

**Hombre:** Ella entra...

**Maestro/a:** La cámara se ve bien.

**Hombre:** Perfecto. De ahí usted entra y ya comienza el...

[Varios estudiantes hablando al mismo tiempo, inentendible]

**Estudiante 2:** Vienen bien chapines.

**Estudiante 3:** Ábrame la ventanita.

**Estudiante 4:** ¡Seño!

**Estudiante 5:** Solo es un poquitito de partido.

**Varios estudiantes:** ¡Sí! Un poquito. ¡Un poquitín!

**Estudiante 6:** ¡Among us!

**Estudiante 7:** Usted es el segundo.

**Estudiante 8:** Ey, esta es la mía.

**Estudiante 9:** Seño, ¡sin mi tarea!

[Varios estudiantes hablando al mismo tiempo]

**Estudiante 10:** Estaban cargando la computadora, mire, no cargó.

[Varios estudiantes hablando al mismo tiempo, inentendible]ora sí. Ya. Yo voy a adecuar este. Bien, vamos a comenzar.

**Estudiante 1:** Seño, ¿puedo pasar a la… [Inaudible]?

**Maestra:** La atención, por favor.

**(Varios estudiantes hablando a la vez)**

**Maestra:** Dejen mi cuadro, que yo tenía la computadora conectada.

